title:subject1, start timestamp:1692783215.930107, stop timestamp:1692783409.157951, headset type:EPOCFLEX, headset serial:F000005B, headset firmware:f14, channels:111, sampling rate:eeg_128, samples:24731     , version:2.2, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1692783338.474891,65.000000,0.000000,-7.804560,-0.541012,-2.344492,4.833857,9.916595,1.290459,-5.474671,6.025425,-12.260249,9.359786,0.597995,-10.140124,-14.015016,-6.189301,-8.959506,-11.260863,-23.795956,-23.583986,-21.330324,-13.943280,-13.408719,-24.371059,-9.802839,-11.938305,-0.290579,-2.458943,-15.208334,4.725577,-18.092119,-5.204123,11.228765,-21.714458,0.000000,0.000000,179.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,1.000000,41.666668,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000
1692783338.482704,66.000000,0.000000,-3.698294,-3.614317,-8.489841,-9.003284,-1.364091,1.801476,4.776958,6.019399,-3.538758,13.961196,2.134320,-5.006908,-10.927154,-4.646189,-9.975162,-8.175756,-14.550621,-19.974249,-10.550531,-0.609337,-7.759925,-16.149765,-3.133037,-5.778675,4.320481,-1.431869,-15.193125,3.183929,-19.098642,-8.785072,18.389843,-2.737360,0.000000,0.000000,160.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.490418,67.000000,0.000000,-0.108442,-4.635319,-15.653658,-10.531204,1.711120,2.824290,3.235257,-4.232774,-5.584450,15.484158,6.230648,4.731946,-4.256227,-2.080004,-5.354417,-13.290657,-15.048378,-15.855812,-7.978443,-0.608728,-2.629089,-12.035153,-2.105288,-0.649819,14.562314,5.229563,-6.981009,1.643822,-22.665697,-8.263980,18.883762,0.339223,0.000000,0.000000,170.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.498231,68.000000,0.000000,-3.694487,-1.556837,-8.465696,-0.274519,10.930947,-0.764688,3.232022,-4.740849,-11.214251,18.542519,9.810571,5.239521,-0.153509,-1.053309,1.310937,-3.031213,-18.107176,-3.544572,-6.433541,-6.755811,-1.601844,-15.609272,-11.324721,-2.698400,19.670830,8.298180,-4.924797,2.666793,-20.081493,-6.206485,16.303339,-5.808808,0.000000,0.000000,185.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.505944,69.000000,0.000000,-6.252331,-1.555280,-0.772616,-0.274244,17.067709,3.334538,5.790329,8.583892,-2.493805,18.011669,8.263837,0.623512,-1.690279,-3.101486,4.383472,9.779510,-17.064453,-1.491796,-10.013262,-6.236748,-10.821781,-18.667509,-18.485704,-9.355701,13.503466,6.752958,-7.993719,3.688742,-18.012182,-3.126432,21.410112,-7.339922,0.000000,0.000000,154.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.513857,70.000000,0.000000,0.413921,-4.627571,0.765080,-4.884739,18.075256,10.503511,2.710692,11.649155,0.582535,15.432119,9.792497,0.622889,-5.787050,-2.586077,1.305243,-0.988730,-17.047388,-15.322613,-16.663248,-5.205895,-16.446344,-16.599611,-10.782603,-6.784807,4.780732,4.184667,-10.547263,7.271207,-22.092630,3.024387,28.048702,-3.746428,0.000000,0.000000,188.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.521670,71.000000,0.000000,7.585814,-1.036790,4.350469,-5.392162,15.495643,10.493008,5.269520,4.977505,-10.176509,18.490534,10.807319,3.183804,-5.781263,-1.558876,-1.257601,-15.332357,-18.054956,-16.844213,-12.548123,-3.151459,-12.843743,-19.656858,-5.136436,-2.167253,7.849797,8.791251,-6.950562,11.362397,-20.533615,4.045978,26.996038,1.380395,0.000000,0.000000,189.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.529584,72.000000,0.000000,6.553614,4.087324,0.247657,-4.362155,20.090916,11.507131,7.313481,7.021759,-11.190948,18.472042,9.259588,4.205236,-2.189328,1.004222,-2.280959,-11.730871,-18.036901,-8.118138,-7.412498,1.462462,-11.293977,-25.272585,-6.668223,-10.874317,16.038870,19.540922,4.327157,8.789496,-15.390004,1.480393,22.358273,4.452860,0.000000,0.000000,149.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.537397,73.000000,0.000000,1.423983,-1.039840,-5.900283,-1.283947,20.583132,7.909469,-2.939986,8.039352,-5.032065,11.793571,10.274944,1.639492,-1.162523,3.564756,-3.815601,-8.645294,-18.531172,-8.622328,-10.991240,0.948692,-12.307298,-23.198082,-7.686170,-15.474212,15.510524,16.447535,5.347446,8.268399,-18.448462,3.528143,23.360531,-0.162362,0.000000,0.000000,191.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.545310,74.000000,0.000000,-1.651287,-9.235723,1.277925,-2.307278,7.242549,-3.369210,-5.498585,4.445159,-10.150110,11.781777,5.141593,-2.972916,-6.796745,-4.123424,-2.274862,-9.661263,-16.975718,-9.126013,-10.467940,-0.076872,-11.782683,-19.076422,-9.727715,-7.261815,10.371936,1.574164,-11.564055,12.358592,-22.528473,0.963077,27.947939,-4.260661,0.000000,0.000000,187.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.553123,75.000000,0.000000,0.911903,-6.152642,7.424339,-4.354201,6.210691,-2.341225,6.289991,6.489944,-15.775344,18.429995,-1.011241,1.128518,-8.839179,-11.291609,-3.809510,-8.626987,-13.884896,-8.604579,-5.846704,1.972435,-11.770901,-15.471192,-7.668756,-4.180707,12.410795,5.671052,-15.138645,7.735465,-19.944407,-4.160963,23.821529,0.354369,0.000000,0.000000,108.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.561036,76.000000,0.000000,8.083299,0.001203,-1.804624,0.260922,18.499865,8.419578,10.382162,4.434224,-12.173415,19.948488,6.674386,8.299697,-0.121109,-3.083394,-9.953393,-8.106052,-10.797166,-11.157513,-5.840857,0.945847,-9.709899,-8.795721,4.634297,-5.713449,18.033770,18.985380,-2.315814,2.604652,-16.850616,-3.132187,12.526939,6.501707,0.000000,0.000000,176.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.568849,77.000000,0.000000,14.222907,-2.048029,-12.048973,-0.251647,14.895212,8.923466,5.248703,-1.205595,-8.062780,18.391617,13.327711,8.291397,8.588243,5.116612,-6.357286,-0.413331,-6.687907,-2.949432,-3.785785,0.432594,-5.601727,-6.225387,6.166586,-2.121582,15.454197,15.380241,-3.338114,9.262048,-15.296843,-3.641362,14.051335,0.859821,0.000000,0.000000,174.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.576762,78.000000,0.000000,10.110223,-7.169057,-11.012308,-6.399087,7.708009,4.816081,4.731147,4.430995,-8.054717,19.910149,8.703614,6.746183,3.456578,2.037650,-1.227852,9.320929,-9.242757,3.201209,-6.343538,-0.080147,-7.645356,-11.854546,-4.085734,-4.168691,2.631050,8.192554,-9.994776,12.326632,-17.330776,-7.223875,20.184977,-10.924116,0.000000,0.000000,169.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.584576,79.000000,0.000000,-0.658349,-7.161889,-0.755142,0.267312,12.823378,5.323573,5.751031,10.061949,-11.632816,21.939468,4.596449,3.153283,-7.305341,3.060228,-7.374316,-5.033008,-16.918129,-10.121992,-16.583347,-9.813912,-14.810019,-21.576538,-8.692418,-11.336830,-6.080812,11.258206,-7.423243,2.068151,-21.924215,-5.679728,10.943253,-11.425500,0.000000,0.000000,184.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.592489,80.000000,0.000000,-5.780767,-2.031650,7.442536,10.000891,13.835170,8.392096,3.183742,7.490348,-13.670415,20.380606,2.030314,-2.997563,-7.810343,3.569475,-9.416173,-22.958744,-20.487366,-14.722639,-15.542150,-14.414867,-15.819824,-24.628807,-9.196033,-8.763954,7.245269,14.320795,-2.805050,-4.593917,-20.365368,-5.161740,7.858463,3.955157,0.000000,0.000000,188.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783338.600302,81.000000,0.000000,-0.651910,1.556536,13.070478,12.040120,18.432104,15.043703,3.692866,7.995166,-5.459821,16.261765,1.003668,0.079281,-3.191763,-7.192556,-3.259064,-12.177324,-20.466879,-2.924839,-4.255838,0.456470,-6.582466,-13.845716,-6.625299,-1.070575,27.730331,18.404936,2.320832,5.656831,-15.221926,-1.058117,29.367527,20.345047,0.000000,0.000000,189.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
