title:subject7, start timestamp:1692954131.289985, stop timestamp:1692954325.716180, headset type:EPOCFLEX, headset serial:F000005B, headset firmware:f14, channels:111, sampling rate:eeg_128, samples:24886     , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1692954143.486059,1692954143.509355,77.000000,0.000000,3.398167,-12.023189,3.169920,-14.424080,8.765264,1.728697,36.730289,96.261978,8.232896,78.023338,1.282781,1.298909,1.698979,28.487356,15.164124,31.830254,8.099304,14.056981,28.223989,47.789288,42.937569,15.354604,-20.298708,16.447796,37.672192,206.581100,30.145151,12.863275,10.236022,10.543362,451.279846,6.449346,0.000000,0.000000,156.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.493872,1692954143.517168,78.000000,0.000000,-2.752924,-14.572704,-6.567096,-29.778887,-0.977348,-3.396108,33.107407,85.919563,0.027740,65.649925,7.429190,-4.850082,-3.938105,17.188099,2.853575,21.039961,0.918897,0.210616,16.924997,48.253807,35.210014,7.654634,-24.889177,16.943655,15.092979,182.808365,23.455006,5.678103,2.541171,9.508203,436.996246,-3.803257,0.000000,0.000000,187.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.501685,1692954143.525080,79.000000,0.000000,-12.484016,-16.607363,-9.634375,-24.626030,-5.074832,-11.589635,24.877375,78.661331,-1.509211,57.387356,-17.681316,-17.652924,-20.328012,6.412450,-9.444663,-1.010309,-15.988175,-11.572671,-1.022698,40.008629,26.465574,-4.136098,-34.085827,-2.028673,16.102501,177.502487,36.751549,-8.159883,-5.658293,9.498694,440.145416,-4.311761,0.000000,0.000000,192.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.509498,1692954143.532893,80.000000,0.000000,-6.836148,-11.467678,-2.964741,-14.867558,2.102551,-2.868815,28.438650,97.538055,-3.556933,63.477661,-25.860558,-13.024502,-22.356916,7.942960,-15.070603,-8.181606,-15.972187,-14.122637,-8.706290,31.259390,22.852955,-2.595039,-30.977896,-4.075875,22.746399,183.984985,35.690182,-3.540953,1.007365,13.587658,444.316040,0.815627,0.000000,0.000000,200.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.517311,1692954143.540806,81.000000,0.000000,-0.681620,-5.308517,0.624378,-27.660383,6.711217,5.330977,35.070213,100.002060,-4.577991,67.512642,-7.903928,-5.326862,-17.211481,7.422710,-14.543224,-3.050348,-7.246984,-17.182360,-14.332969,34.814285,16.682409,-0.030905,-23.262302,4.637432,6.842114,176.628693,25.408339,9.270280,7.666358,14.086377,431.576324,-0.722112,0.000000,0.000000,190.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.525123,1692954143.548619,82.000000,0.000000,-12.976323,-16.061670,-13.720861,-40.440414,-9.177032,-6.457431,27.350527,72.237442,-8.671875,65.395897,-13.019101,-19.153843,-24.878885,0.242979,-20.676374,-15.854990,-18.510508,-27.411331,-30.200174,33.242546,5.394958,-16.424721,-35.022118,-12.785667,-8.533958,166.718216,24.358316,-3.546683,-5.149001,2.801522,418.337067,-10.455235,0.000000,0.000000,198.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.532936,1692954143.556532,83.000000,0.000000,-21.160269,-25.267147,-25.490217,-38.863052,-26.074009,-16.184820,21.175484,60.894436,-17.884741,64.818199,-16.592236,-24.257767,-22.804777,5.878121,-23.729544,-21.474520,-27.201227,-29.433151,-30.169973,27.061613,4.364947,-23.068296,-42.159401,-19.945189,3.257652,169.113037,22.284727,-14.813905,-16.414621,-0.787433,422.017181,-20.690933,0.000000,0.000000,125.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.540749,1692954143.564345,84.000000,0.000000,-16.016033,-19.094189,-19.317036,-41.385727,-21.949474,-15.144019,23.715847,69.542770,-18.891472,63.216454,-5.817182,-12.962739,-7.925048,15.093781,-16.533506,-0.960737,-13.854026,-17.108334,-13.233650,32.669937,10.508274,-6.651381,-30.334166,-1.994475,21.185163,167.406998,20.213211,-5.065245,-10.762822,5.873354,425.693634,-24.256397,0.000000,0.000000,193.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.548562,1692954143.572258,85.000000,0.000000,-17.024632,-20.612017,-19.810026,-44.930496,-16.292139,-15.128876,19.593670,73.571686,-15.798735,61.104008,-18.619057,-13.462084,-8.941739,9.443303,-16.516973,7.749454,-8.204787,-14.017379,-13.220417,33.661880,9.473150,-2.546268,-30.816139,-8.652480,15.016287,147.259598,21.729921,-8.134027,-9.727444,4.330558,417.071014,-19.621372,0.000000,0.000000,143.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.556375,1692954143.580071,86.000000,0.000000,-19.569145,-27.251406,-25.937908,-40.787102,-20.886616,-15.113747,13.938691,76.571960,-23.467550,58.993671,-28.846592,-14.985545,-10.982028,5.847706,-21.623533,0.569397,-14.856583,-20.151054,-19.867197,26.968220,7.414447,-10.740645,-41.543785,-25.037674,6.292039,129.693863,19.146652,-18.884354,-17.402332,0.740073,413.067780,-14.478673,0.000000,0.000000,185.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.564188,1692954143.587984,87.000000,0.000000,-14.938807,-22.101076,-20.276585,-38.184776,-18.816500,-12.024787,21.609367,77.520004,-28.567160,51.250065,-3.202361,-3.699790,5.422801,11.989551,-13.917294,6.716520,-7.669418,-11.421672,-6.015021,33.088943,14.579340,-0.996058,-34.842239,-5.544944,14.994978,129.051865,17.590582,-8.619315,-14.311084,7.399333,420.851654,-18.050348,0.000000,0.000000,182.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.572001,1692954143.595797,88.000000,0.000000,-13.386946,-22.078976,-16.670155,-39.683517,-14.699221,-13.037377,24.661604,70.270180,-19.829363,52.223431,4.485457,-4.208398,9.003531,11.465253,-8.267992,15.419034,1.559790,0.372826,9.872532,40.228161,24.298607,11.300323,-28.147398,17.514446,13.443060,130.972046,22.183762,4.196996,-7.124465,9.953472,423.504639,-21.618452,0.000000,0.000000,163.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.579814,1692954143.603710,89.000000,0.000000,-17.984327,-29.229204,-21.776562,-42.717678,-17.758368,-18.147417,8.755404,67.126060,-15.711071,67.028130,-21.134413,-16.499575,-8.936241,7.355326,-14.919724,13.354384,-3.564847,-2.701393,9.862659,37.626396,28.885077,1.555176,-37.340790,7.763086,0.621925,127.254921,24.723116,-1.442585,-15.314263,4.820442,415.396515,-15.449142,0.000000,0.000000,144.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.587627,1692954143.611523,90.000000,0.000000,-23.601728,-25.101513,-20.217863,-44.724194,-16.715994,-21.715424,-0.987197,72.182014,-21.843052,66.961098,-29.822510,-18.019999,-18.148844,4.274125,-20.027882,7.193338,-9.708974,-9.870999,1.655874,36.051846,21.171577,-14.840225,-43.963448,-10.687754,4.207457,130.201508,25.723009,-13.224219,-21.958948,6.352544,411.394958,-11.847538,0.000000,0.000000,197.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.595440,1692954143.619436,91.000000,0.000000,-22.041203,-17.391796,-15.586875,-38.531776,-11.063893,-17.082939,10.284559,71.597527,-20.796595,58.697216,-21.083456,-15.952747,-17.106079,-3.927072,-22.569391,-2.547702,-12.773111,-15.496512,-11.665782,31.405025,8.855021,-18.923847,-40.845638,-14.263220,1.129403,136.731308,29.795748,-14.747918,-13.740067,8.907730,413.545105,-16.446459,0.000000,0.000000,130.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.603253,1692954143.627348,92.000000,0.000000,-15.871469,-18.911327,-13.522058,-30.808628,-11.565138,-10.405855,15.397351,64.353622,-12.066566,77.081596,-21.574680,-17.473717,-20.162819,-10.583145,-24.083746,-10.229770,-15.321877,-21.628708,-20.875654,26.762850,4.235396,-18.392614,-41.829411,-11.687418,-12.704034,138.131500,28.229029,-8.585479,-10.652481,8.386515,411.594635,-18.479244,0.000000,0.000000,179.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954143.611066,1692954143.635161,93.000000,0.000000,-16.367907,-19.404724,-9.922381,-31.290127,-12.065880,-11.420065,12.820415,65.313881,-11.542192,86.738358,-20.016182,-17.968552,-22.704195,-9.035639,-21.498123,-10.219540,-15.306555,-21.607080,-23.416317,29.809933,0.132700,-25.546530,-47.935272,-20.384962,6.776362,138.505676,17.954645,-14.212277,-18.838751,10.427360,413.232300,-17.436150,0.000000,0.000000,170.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
